Employee_Number,Age,Gender,Education,Education_Field,Environment_Satisfaction,Marital_Status,Num_Companies_Worked,Over_18,Work_Life_Balance,Total_Working_Years,Distance_from_Home,Employee_Count,Years_at_Company,Business_Travel,Department,Job_Involvement,Job_Level,Job_Role,Years_in_Current_Role,Years_since_Last_Promotion,Years_with_Curr_Manager,Daily_Rate,Hourly_Rate,Monthly_Rate,Over_Time,Percent_Salary_Hike,Standard_Hours,Stock_Option_Level,Job_Satisfaction,Performance_Rating,Satisfaction_with_Manager,Training_Times_Last_Year,Attrition,Monthly_Income
1047,20,Male,4,Life Sciences,3,Married,0,Y,3,1,3,1,0,Travel Frequently,Research & Development,2,1,Research Scientist,0,0,0,1256,48,4223,Yes,11,80,1,4,3,2,5,Yes,2853
1420,39,Female,3,Marketing,3,Divorced,0,Y,3,10,1,1,9,Travel Frequently,Sales,3,2,Sales Executive,3,1,7,1018,66,4297,No,17,80,1,1,3,4,2,No,4103
1272,19,Male,1,Life Sciences,4,Single,1,Y,3,2,9,1,2,Travel Rarely,Sales,3,1,Sales Representative,2,0,2,727,54,21082,No,11,80,0,1,3,1,3,No,2728
907,25,Male,2,Medical,4,Married,1,Y,3,8,2,1,8,Travel Rarely,Research & Development,4,2,Manufacturing Director,7,1,3,1066,32,3334,No,12,80,0,4,3,2,2,No,5472
70,21,Male,2,Medical,4,Divorced,1,Y,2,1,16,1,1,Non-Travel,Research & Development,4,1,Laboratory Technician,0,0,0,1123,96,7324,Yes,13,80,2,4,3,2,2,No,2935
111,30,Female,5,Life Sciences,3,Single,1,Y,3,10,1,1,10,Travel Frequently,Research & Development,4,3,Manufacturing Director,8,4,7,1445,100,8931,No,11,80,0,2,3,1,2,Yes,7446
1343,39,Male,2,Technical Degree,1,Divorced,1,Y,3,9,24,1,9,Travel Rarely,Research & Development,3,2,Research Scientist,8,4,7,1300,62,24447,No,17,80,2,4,3,1,3,No,3319
1290,41,Male,2,Technical Degree,3,Married,1,Y,3,22,4,1,22,Travel Rarely,Research & Development,3,5,Manager,17,11,15,532,58,4933,No,11,80,0,4,3,4,3,No,19232
1398,29,Male,2,Life Sciences,4,Married,1,Y,3,4,1,1,4,Travel Rarely,Research & Development,2,1,Laboratory Technician,2,3,2,329,98,16193,No,12,80,1,1,3,3,3,No,2218
214,42,Male,2,Life Sciences,2,Married,1,Y,3,8,9,1,8,Travel Rarely,Research & Development,3,1,Research Scientist,7,7,1,661,61,7508,Yes,13,80,0,1,3,4,0,No,2559
744,37,Male,3,Life Sciences,3,Single,9,Y,2,9,9,1,5,Non-Travel,Research & Development,3,2,Laboratory Technician,4,0,3,439,70,8770,No,15,80,0,2,3,3,2,No,6782
1001,27,Male,3,Life Sciences,3,Divorced,1,Y,3,6,7,1,6,Travel Rarely,Research & Development,3,2,Healthcare Representative,0,1,0,1329,82,4204,Yes,11,80,2,4,3,2,2,No,6623
1060,39,Male,1,Life Sciences,3,Divorced,3,Y,3,12,9,1,9,Travel Rarely,Sales,3,3,Sales Executive,7,0,7,802,96,21196,Yes,13,80,1,3,3,3,2,No,8189
709,35,Female,2,Life Sciences,4,Divorced,7,Y,3,18,4,1,4,Travel Frequently,Research & Development,3,2,Manufacturing Director,2,0,2,688,97,9192,No,13,80,3,2,3,2,3,No,5131
1110,35,Female,3,Other,3,Married,0,Y,3,10,1,1,9,Travel Rarely,Research & Development,3,2,Manufacturing Director,7,0,5,676,35,23361,No,15,80,1,2,3,1,2,No,5228
1061,51,Male,2,Marketing,2,Married,2,Y,1,13,6,1,7,Travel Rarely,Sales,3,2,Sales Representative,7,4,5,1436,34,16047,Yes,20,80,1,3,4,4,3,No,2306
359,31,Female,4,Medical,1,Married,8,Y,3,8,4,1,5,Travel Rarely,Research & Development,2,1,Laboratory Technician,4,0,2,1099,82,8192,No,11,80,0,2,3,4,5,No,3838
919,35,Female,3,Life Sciences,4,Divorced,1,Y,2,18,14,1,18,Travel Rarely,Research & Development,3,1,Laboratory Technician,7,12,17,1107,95,26914,No,12,80,1,1,3,3,2,No,3034
1421,37,Male,4,Life Sciences,1,Married,2,Y,3,10,6,1,8,Travel Frequently,Research & Development,2,2,Manufacturing Director,3,7,7,508,72,14284,No,11,80,1,3,3,4,1,No,5321
1104,25,Female,3,Life Sciences,1,Married,1,Y,3,1,3,1,1,Travel Rarely,Research & Development,3,1,Research Scientist,0,0,0,474,89,11133,No,21,80,0,4,4,1,5,No,2061
1350,30,Male,4,Life Sciences,4,Divorced,3,Y,2,10,7,1,7,Travel Rarely,Research & Development,3,2,Laboratory Technician,7,1,7,655,48,9528,No,22,80,1,4,4,4,3,No,5915
